Pipe ID ,Pipe Identification,Pipe Diameter,Pipe Material,Pipe Roughness,Pipe Construction Year,Age ,Pipe Measured Length,Degradation rate,Effect factor,X_Coordinates,Y_Coordinates,Elevation_(m) with Sea level,BREAK_DATE,BREAK_YEAR,XCOORD,YCOORD,Break_Count,Pipe Location Description
13912,LN102439,300,DIP,95,1975,56,104.2,2,0.12,-79.41077128,43.7388642,171,8/10/1995,1995,311979.53,4844095.34,1,SANDHURST CRCL
13925,LN104752,150,PVC,95,1984,56,3.8,2,0.12,-79.33664378,43.79741231,189.8673753,6/30/2015,2015,317934.517,4850620.103,1,SERVICE RD
14144,LN4030275,300,CI,95,1953,56,362.1410984,2,0.12,-79.52184066,43.69554779,137,1/24/2004,2004,303020.147,4839287.737,1,GURNEY CRES
14441,LN2450807,500,UNK,130,1963,56,636.2,0.75,0.6,-79.53695031,43.69866414,151,12/9/2001,2001,301800.848,4839652.698,1,CARLINGVIEW DR
14507,LN102588,200,DIP,95,1976,56,131.2,2,0.12,-79.43753527,43.73767978,184,2/25/1996,1996,309812.268,4843978.647,1,PLACENTIA BLVD
14609,LN4027322,150,CI,95,1955,56,93.6,2,0.12,-79.25835854,43.73485778,168,1/21/1994,1994,324249.186,4843685.228,1,MAIDSTONE ST
14846,LN3008394,300,CI,95,1922,56,92.54,2,0.12,-79.50099019,43.69142521,125,3/11/2009,2009,304704.422,4838834.102,1,PAPE AVE
15103,LN100609,150,CI,95,1964,56,325.6,1,0.4,-79.37668747,43.66256708,99,1/31/2008,2008,314727.85,4835637.8,1,RICHBOURNE CRT
15201,LN106205,150,DIP,130,1973,56,534.2,0.75,0.6,-79.43214169,43.76934623,186,12/28/1998,1998,310243.383,4847502.4,1,MCCLURE CRES
15237,LN4605,300,UNK,95,1950,56,6.2,2,0.12,-79.42241567,43.64342426,90,1/29/1994,1994,311035.374,4833498.687,1,HEATH ST W
15443,LN100369,150,CI,95,1951,56,223.1,2,0.12,-79.40459725,43.77591314,183,1/4/2011,2011,312450.811,4848217.384,1,MCDAIRMID RD
15642,LN108601,150,UNK,95,1983,56,22.9,2,0.12,-79.42345156,43.64621398,92.76757633,3/3/1990,1990,310960.224,4833798.851,1,CANONGATE TRL
15788,LN103104,150,CI,95,1946,56,449.1,2,0.12,-79.45317967,43.67064005,126,2/21/2007,2007,308554.782,4836533.769,1,SHARPE ST
15799,LN2446646,300,CI,95,1957,56,219.2,2,0.12,-79.54202235,43.61220193,109,11/2/1993,1993,301382.69,4830040.007,1,RANGOON RD
15883,LN4029413,300,DIP,120,1971,56,258.9,1.5,0.931034483,-79.15142162,43.77561692,91,5/10/1990,1990,332831.631,4848238.939,1,STEEPROCK DR
